7.36,54.09,2.35,24.51,29.64,22.76,13.1,36.06,3.36,84.11,1004.4,21.2
7.53,55.83,4.13,27.15,35.02,21,12.41,81.64,3.3,81.01,1003.4,21.2
10.8,67.29,3.97,31.2,38.82,18.36,12.41,36.47,2.58,86.58,1002.6,21.2
5.41,23.78,2.32,17.39,22.49,24.37,8.95,197.02,4.49,70.4,1007.4,21.2
3.16,5.36,3.5,15.06,21.96,14.75,5.21,299.67,4.74,87.99,1006.4,21.2
10.5,14.9,2.52,15.9,21.3,13.42,5.51,160.61,4.98,90.08,1008.8,21.2
7.29,11.34,1.42,10.44,14.14,20.16,9.54,38.4,5.69,90.64,1003.4,21.2
9.51,5.55,1.22,10.1,13.51,17.32,9.23,44.65,3.78,96.18,1002.7,21.2
13.15,31.17,2.08,14.77,19.49,19.68,10.19,26.92,7.57,91.09,998.42,21.2
15,11.86,1.35,13.42,17.03,21.66,6.09,259.33,5.79,86.45,1006.9,21.2
22.37,26.83,3.87,21,28.47,19.78,6.57,126.98,3.87,85.93,1007.9,21.2
31,12.94,4.89,25.34,34.36,11.02,11.33,153.1,4.24,91.16,992.29,21.2
15.51,10.07,4.95,24.55,33.67,14.07,15.24,160.04,4.46,87.91,990.05,21.2
8.61,13.1,2.45,14.22,19.51,16.32,8.91,73.79,8.74,95.72,991.88,21.2
4.16,14.33,1.41,11.76,15.46,23.98,2.83,74.65,10.93,95.91,1005.7,21.2
6.22,9.87,2.11,11.94,16.83,22.31,1.51,241.82,9.16,93.14,1004.4,21.2
8.88,24.23,4.88,22.49,31.51,15.63,0.34,135.51,2.46,89.53,1005.2,21.2
5.41,29.07,4.28,24.29,32.39,14.31,6.9,128.68,2.65,95.35,1000.9,21.2
10.22,7.18,2.08,14.34,19.06,18.31,7.27,343,6.19,98.03,997.54,21.2
8.04,3.38,1.94,11.04,15.55,25.38,3.58,337.67,8.65,79.85,1003.6,21.2
7.06,5.66,8.6,23.37,38.09,20.07,2.12,250.35,2.29,71.6,1005.6,21.2
5.96,30.36,18.1,35.27,64.55,10.92,3.61,188.49,2.99,83.98,999.16,21.2
