20.09,6.01,33.98,34.58,2.38,98.6,1.16,95.06,988.65
52.17,16.52,62.17,32.24,5.1,152.54,1.23,85.26,992.25
40.34,75.13,70.04,45.02,7.73,183.44,2.91,90.42,986.58
22.07,10.76,22.1,39.68,5.01,119.56,1.99,93.22,993.54
23.15,1.91,15.51,47.16,4.02,41.44,3.16,92.75,999.26
29.06,2.16,21.92,50.11,5.07,45.26,1.81,85.22,1001
32.51,10.53,32.03,39.75,5.15,136.68,1.06,83.78,997.54
24.58,1.76,12.74,62.24,5.46,55.74,2.18,87.7,994.71
26.48,1.47,12.89,55.06,5.76,63.5,1.97,98.48,989.15
18.79,1.59,17.89,49.82,6.36,59.06,1.84,99.4,988.25
11.38,1.01,15.44,56.07,5.48,45.58,2.18,95.24,991.75
17.41,1.59,15.67,56.24,4.77,57.27,1.67,92.19,987.78
17.44,4.67,22.14,55.41,0.51,68.13,2.07,95.42,982.97
26.62,13.12,48.3,41.39,0.08,131.23,1.85,100,985.21
38.81,15.42,34.67,76.97,-2.58,104.75,1.86,79.94,997.45
71.14,62.37,71.77,44.65,6.09,172.72,2.27,85.07,987.5
25.03,1.78,12.93,76.18,4.55,97.84,1.76,98.23,987.24
31.81,20.03,43.46,50.85,8.44,190.27,1.88,98.86,981.01
107.99,50.04,54.88,61.4,14.87,220.41,2.25,75.66,981.13
93.55,41.61,105.98,27.63,10.03,183.55,1.05,94.58,981.95
39.75,15.93,42.37,65.78,9.16,133.47,1.56,81.8,991.86
105.36,45.87,149.29,28.03,9.43,188.2,0.99,79.46,993.76
83.66,48.82,80.4,55.68,11.41,176.43,0.82,80.05,991.93
116.31,52.45,129.12,34.53,12.53,157.75,0.88,79.18,990.22
66.56,45.42,54.19,52.29,13.86,223.3,2.09,77.21,982.76
39.03,32.82,45.47,55.74,12.38,272.12,1.44,79.91,984.71
64.83,37.54,143.25,35.19,9.86,181.27,0.81,91.35,987.39
86.21,55.05,111.06,37.04,10.58,161.36,1.29,83.13,989.32
102.18,106.56,71.27,68.99,15.17,172.57,1.57,71.18,985.75
16.15,2.51,13.3,87.98,4.22,47.52,3.23,98.81,991.77
28.32,6.64,20.09,70.09,6.64,169.13,1.95,96.76,977.02
11.95,2.17,12.91,71.38,2.11,55.98,2.43,99.25,980.37
16.58,0.65,13.38,68.68,3.92,70.96,1.75,99.78,991.2
71.54,28.84,48.96,63.06,10.36,146.53,1.69,92.01,987.76
15.92,1.37,14.55,71.39,5.67,65.02,2.03,100,988.38
32.7,4,22.37,71.36,6.59,54.33,2.48,85.68,988.04
84.99,66.55,99.19,40.79,8.13,165.26,1.53,82.8,995.46
125.04,56.14,115.63,35.15,12.23,161.21,1.09,74.57,994.1
29.4,2.07,14.57,91.83,11.69,78.59,1.6,67.99,995.84
40.51,4.24,23.2,80.94,12.47,86.98,1.72,72.13,993.96
35.08,1.24,7.56,95.66,16.08,59.15,2.09,81.49,995.76
31.23,0.82,4.85,101.71,14.83,54.96,2.26,80.98,994.53
28.46,1.08,13.41,93.54,15.91,81.65,1.42,77.21,991.67
28.24,1,11.54,88.44,13.72,83.79,1.29,87.48,991.24
42.12,1.66,16.58,89.93,16.02,115.77,1.33,85.24,988.79
28.53,1.22,11.49,90.84,14.58,89.71,1.44,88.44,989.01
30.16,1.42,11.52,87.04,15.02,77,1.58,91,988.09
19.36,1.48,6.21,88.76,18.9,61.55,1.87,82.36,992.33
33.17,1.8,12.08,82.7,19.97,64.56,1.81,76.53,990.94
26.83,2.05,9.53,80.88,19.04,34.18,2.65,88.67,988.5
30.67,0.62,13.96,94.4,22.35,85.37,1.65,83.3,995.27
29.12,1.28,15.92,72.46,22.52,129.02,1.71,82.09,989
31.22,1.18,3.9,102.14,21.37,48.1,2.63,83.12,984.61
32.06,1.2,8.14,101.88,22.18,48.47,2.17,70.13,986.96
28.21,1.24,14.51,78.88,22.08,78.26,1.49,71.98,987.12
17.86,1.46,10.34,80.58,21.98,91.12,1.28,75.78,981.65
21.34,1.29,4.94,83.52,22.65,118.82,1.59,84.56,982.96
31.82,0.79,9.14,69.97,22.48,65.04,2.64,77.41,989.11
