19.96,35.46,34.99,46.38,5.35,299.46,3.43,86.36,976.2,17.35,25.18,6.78,27.01,37.4,35.59,5.74,273.07,2.89,76.16,977.44,23.6,9.9,9.83,2.42,14.8,18.52,50.9,5.72,262.2,6.84,79.35,982.16,21.2,148.94,103.81,122.19,57.98,245.01,2574.5,7.22,172.94,2.52,75.86,996.31,54
83.93,71.64,91.01,69.8,7.92,181.3,1.76,80.77,989.99,32.03,52.37,10.54,41.3,57.46,27.07,7.86,123.05,0.86,75.21,991.22,23.6,20.08,17.7,3.55,26.14,31.58,44.16,8.12,162.05,5.24,76.61,995.61,21.2,117.27,64.76,123.52,64.95,236.17,2027.1,10.07,199.18,1.61,66.56,1010.4,54
20.98,12.17,38.82,34.46,5.53,132.62,1.57,98.79,986.6,18.28,28.86,13.77,38.76,59.88,23.29,6.41,129.68,1.4,91.69,987.51,23.6,16.94,8.21,2.41,18.63,22.32,41.92,6.22,122.57,3.04,95.2,992.08,21.2,89.6,27.72,67.01,48.09,150.59,1284.8,7.84,125.57,0.86,92.01,1006.6,54
13,7.42,47.2,33.64,4.67,65.61,2.5,99.96,979.54,19.68,16.26,10.33,30.62,46.46,11.45,5.28,244.08,1.85,91.89,980.6,23.6,14.37,14.37,6.19,20.35,29.83,38.95,5.28,227.74,4.72,95.09,985.15,21.2,74.09,39.62,54.24,44.2,128.49,1040.2,6.64,75.1,2.08,93.69,998.92,54
22.33,4.75,23.92,65.33,1.13,35.68,3.01,85.12,994.74,19.49,16.31,5.85,23.7,32.66,43.43,1.34,266.4,1.91,77.57,995.59,23.6,7.67,17.99,6.08,14.73,23.65,51.54,1.31,287.35,5.69,80.56,1000.7,21.2,91.4,68.65,94.33,53.62,198.15,1662.6,3.55,54.52,2.37,75.68,1015.1,54
24.41,4.05,22.09,68.6,0.15,41.03,3.46,78.65,1005.4,26.4,39.7,12.38,20.86,39.84,50.72,0,257.58,2.03,74.41,1006.4,23.6,16.68,16.08,1.94,13.14,16.12,44.16,-0.04,297.67,6.82,77.7,1011.4,21.2,71.31,54.24,62.42,40.42,135.38,1207.9,2.71,51.18,2.44,69.76,1025.9,54
18.06,9.76,27.67,68.05,0.86,59.28,2.64,78.13,1006,25.91,29.74,6.82,26.98,37.43,49.3,0.7,165.66,1.79,75.63,1006.8,23.6,15.78,31,2.18,16.86,20.2,43.01,0.64,224.77,6.22,78.91,1011.7,21.2,34.93,29.76,29.79,36.06,79.83,656.82,3.9,95.01,1.35,55.06,1026.4,54
16.99,1.92,29.06,53.25,1.94,42.61,1.95,65.45,1003.6,41.38,65.29,12.31,41.21,60.08,42.89,1.74,120.64,1.36,64.08,1004.6,23.6,18.73,51.38,2.87,26.56,30.95,39.62,1.69,89.58,3.92,67.28,1009.4,21.2,45.24,21.46,43.77,36.32,102.1,1089.6,2.86,96.62,0.97,62.77,1024.3,54
29.37,4.38,42.77,37.33,2.74,55.77,1.18,75.52,1007.4,44.38,52.15,11.73,44.2,62.19,32.02,2.43,159.76,0.95,72.3,1008.5,23.6,23.26,37.7,3.33,22.21,27.31,35.45,2.38,106.75,2.14,75.77,1013.2,21.2,79.2,56.74,61.09,50.14,142.93,1369.2,3.39,127.03,0.57,68.84,1028.1,54
27.38,4.08,68.21,32.63,3.89,94.35,1.05,82.12,1008.7,33.13,28.94,10.72,35.71,52.14,29.81,4.24,168.62,0.83,77.33,1009.9,23.6,20.81,17.18,2.85,20.91,25.28,27.9,4.04,172,1.71,80.75,1014.5,21.2,93.02,76.22,85.47,48.45,178.97,1808.3,5.04,112.99,0.49,77.82,1029.4,54
